wavelength,fluxE-26
4853.96,0.84358
4855.55,0.773918
4857.14,0.745593
4858.73,0.667479
4860.32,0.624108
4861.91,0.669955
4863.50,0.704436
4865.09,0.762795
4866.68,0.84551
4868.27,0.842512
4869.87,0.901029
4871.46,0.934746
4873.05,0.936771
4874.64,0.974922
4876.23,1.02779
4877.82,1.04243
4879.41,1.06077
4881.00,1.08985
4882.59,1.07839
4884.18,1.11163
4885.77,1.13297
4887.36,1.17875
4888.95,1.1755
4890.54,1.1857
4892.13,1.20252
4893.72,1.19901
4895.31,1.23185
4896.90,1.26445
4898.49,1.31625
4900.08,1.27982
4901.67,1.27809
4903.26,1.31018
4904.85,1.32867
4906.44,1.33148
4908.03,1.36196
4909.62,1.33743
4911.21,1.35149
4912.80,1.33318
4914.39,1.37203
4915.98,1.37621
4917.57,1.40509
4919.16,1.40172
4920.75,1.42377
4922.34,1.4354
4923.93,1.44771
4925.52,1.44471
4927.11,1.40082
4928.70,1.45478
4930.29,1.48876
4931.88,1.46734
4933.47,1.45267
4935.06,1.49152
4936.65,1.51461
4938.24,1.47
4939.83,1.48309
4941.42,1.48563
4943.01,1.50509
4944.60,1.55193
4946.19,1.53274
4947.78,1.50108
4949.37,1.52958
4950.96,1.54318
4952.55,1.53632
4954.14,1.53785
4955.73,1.553
4957.32,1.58994
4958.91,1.50974
4960.50,1.52106
4962.09,1.57169
4963.68,1.547
4965.27,1.54822
4966.86,1.52726
4968.45,1.58303
4970.04,1.61057
4971.63,1.6122
4973.22,1.57981
4974.81,1.58823
4976.40,1.59197
4978.00,1.60883
4979.59,1.63819
4981.18,1.56758
4982.77,1.56838
4984.36,1.55319
4985.95,1.62703
4987.54,1.60257
4989.13,1.62968
4990.72,1.6099
4992.31,1.5901
4993.90,1.6006
4995.49,1.59336
4997.08,1.65317
4998.67,1.63222
5000.26,1.63215
5001.85,1.61335
5003.44,1.6081
5005.03,1.59232
5006.62,1.61173
5008.21,1.63275
5009.80,1.6261
5011.39,1.65738
5012.98,1.63565
5014.57,1.61856
5016.16,1.63299
5017.75,1.62323
5019.34,1.651
5020.93,1.63414
5022.52,1.63002
5024.11,1.60116
5025.70,1.61454
5027.29,1.62891
5028.88,1.65805
5030.47,1.64503
5032.06,1.6418
5033.65,1.60617
5035.24,1.60865
5036.83,1.61811
5038.42,1.62691
5040.01,1.62647
5041.60,1.59115
5043.19,1.62614
5044.78,1.62824
5046.37,1.64965
5047.96,1.63178
5049.55,1.64141
