source id,right ascension (RAJ2000),declination (DEJ2000),hjd,camera,filter,mag,mag err,flux (mJy),flux err
AP8019578,219.29812,26.7366,2457228.76294,ba,V,10.405,0.02,264.071,4.859
AP8019578,219.29812,26.7366,2457775.1178,ba,V,10.171,0.02,327.611,6.028
AP8019578,219.29812,26.7366,2457068.99654,ba,V,7.63,0.02,3404.258,62.638
AP8019578,219.29812,26.7366,2457898.97171,ba,V,10.678,0.02,205.542,3.782
AP8019578,219.29812,26.7366,2457779.0703,ba,V,10.745,0.02,193.206,3.555
AP8019578,219.29812,26.7366,2457412.04294,ba,V,12.685,99.99,-105.385,6.47
AP8019578,219.29812,26.7366,2457930.84521,ba,V,8.544,0.02,1467.122,26.995
AP8019578,219.29812,26.7366,2457903.78754,ba,V,10.77,0.02,188.682,3.472
AP8019578,219.29812,26.7366,2456676.01634,ba,V,11.134,0.02,135.046,2.485
AP8019578,219.29812,26.7366,2457957.76811,ba,V,8.118,0.02,2170.793,39.943
AP8019578,219.29812,26.7366,2457149.82815,ba,V,12.78,99.99,26.679,5.928
AP8019578,219.29812,26.7366,2457546.91494,ba,V,9.298,0.02,732.142,13.471
AP8019578,219.29812,26.7366,2458240.79321,be,V,12.125,99.99,-48.002,10.84
AP8019578,219.29812,26.7366,2456824.91815,ba,V,7.588,0.02,3537.48,65.09
AP8019578,219.29812,26.7366,2457568.77289,ba,V,10.856,0.02,174.414,3.209
AP8019578,219.29812,26.7366,2458294.79382,ba,V,12.555,99.99,-306.804,7.292
AP8019578,219.29812,26.7366,2458243.77591,be,V,12.064,99.99,-126.898,11.459
AP8019578,219.29812,26.7366,2457794.00155,ba,V,12.729,99.99,-42.356,6.211
AP8019578,219.29812,26.7366,2457537.91256,ba,V,8.718,0.02,1249.149,22.984
AP8019578,219.29812,26.7366,2457592.77336,ba,V,12.694,99.99,-92.457,6.415
AP8019578,219.29812,26.7366,2457840.95087,ba,V,12.597,99.99,-239.314,7.016
AP8019578,219.29812,26.7366,2457417.06023,ba,V,12.717,99.99,-60.376,6.284
AP8019578,219.29812,26.7366,2457208.83322,ba,V,12.364,0.02,43.479,0.8
AP8019578,219.29812,26.7366,2457130.93569,ba,V,10.892,0.02,168.698,3.104
AP8019578,219.29812,26.7366,2457138.85113,ba,V,11.497,0.02,96.648,1.778
AP8019578,219.29812,26.7366,2457370.14592,ba,V,12.686,99.99,-104.448,6.464
AP8019578,219.29812,26.7366,2457945.82695,ba,V,8.039,0.02,2335.664,42.976
AP8019578,219.29812,26.7366,2457402.06819,ba,V,12.673,99.99,-123.277,6.541
AP8019578,219.29812,26.7366,2456816.94219,ba,V,7.764,0.02,3008.629,55.359
AP8019578,219.29812,26.7366,2457099.06608,ba,V,8.844,0.02,1112.644,20.473
AP8019578,219.29812,26.7366,2456405.92603,ba,V,8.099,0.02,2209.582,40.656
AP8019578,219.29812,26.7366,2456677.01748,ba,V,10.803,0.02,183.102,3.369
AP8019578,219.29812,26.7366,2457050.07758,ba,V,7.664,0.02,3298.468,60.692
AP8019578,219.29812,26.7366,2457414.0817,ba,V,12.729,99.99,-43.577,6.216
AP8019578,219.29812,26.7366,2457410.08,ba,V,12.694,99.99,-93.108,6.419
AP8019578,219.29812,26.7366,2457756.11594,ba,V,9.127,0.02,857.049,15.77
AP8019578,219.29812,26.7366,2458241.75331,be,V,12.184,99.99,24.934,10.268
