wave,fluxE10
6175.88,26.1618
6178.71,25.9272
6181.54,25.7961
6184.37,25.8375
6187.2,26.0544
6190.03,26.3051
6192.86,26.4223
6195.69,26.3743
6198.52,26.184
6201.35,25.8831
6204.18,25.4779
6207.01,25.0253
6209.84,24.6423
6212.67,24.3978
6215.5,24.3109
6218.34,24.3854
6221.17,24.5165
6224,24.5147
6226.83,24.4686
6229.66,24.6157
6232.49,24.9026
6235.32,25.185
6238.15,25.4176
6240.98,25.5518
6243.81,25.626
6246.64,25.7393
6249.47,25.9909
6252.3,26.4623
6255.13,27.0289
6257.96,27.5081
6260.79,27.899
6263.62,28.2508
6266.46,28.5819
6269.29,28.9191
6272.12,29.3458
6274.95,29.8932
6277.78,30.3918
6280.61,30.7084
6283.44,30.8825
6286.27,30.9804
6289.1,31.0741
6291.93,31.2688
6294.76,31.6801
6297.59,32.272
6300.42,32.8697
6303.25,33.3925
6306.08,33.832
6308.91,34.1944
6311.74,34.5301
6314.58,34.9006
6317.41,35.3177
6320.24,35.7353
6323.07,36.1144
6325.9,36.4328
6328.73,36.6603
6331.56,36.7655
6334.39,36.7135
6337.22,36.3769
6340.05,35.6819
6342.88,34.8384
6345.71,34.0988
6348.54,33.5841
6351.37,33.4347
6354.2,33.8966
6357.03,34.964
6359.86,36.2614
6362.7,37.5093
6365.53,38.5638
6368.36,39.2752
6371.19,39.5705
6374.02,39.5736
6376.85,39.4303
6379.68,39.1726
6382.51,38.8997
6385.34,38.7005
6388.17,38.6254
6391,38.8758
6393.83,39.5305
6396.66,40.2018
6399.49,40.5247
6402.32,40.4192
6405.15,39.9222
6407.98,39.3942
6410.82,39.1322
6413.65,38.9903
6416.48,38.8648
6419.31,38.8786
6422.14,39.1289
6424.97,39.7009
6427.8,40.5135
6430.63,41.1956
6433.46,41.5565
6436.29,41.6746
6439.12,41.6074
6441.95,41.4451
6444.78,41.4418
6447.61,41.737
6450.44,42.126
6453.27,42.4221
6456.1,42.5713
6458.94,42.5174
6461.77,42.2413
6464.6,41.7613
6467.43,41.1292
6470.26,40.401
6473.09,39.6832
6475.92,39.0326
6478.75,38.3839
6481.58,37.7009
6484.41,36.9195
6487.24,36.0886
6490.07,35.5054
6492.9,35.441
6495.73,36.1156
6498.56,37.3272
6501.39,38.3767
6504.22,39.031
6507.06,39.4915
6509.89,39.8593
6512.72,40.2056
6515.55,40.5783
6518.38,41.0129
6521.21,41.565
6524.04,42.2317
6526.87,42.8782
